Kanji,Furigana,Meaning,Level
改革,かいかく,"reform, reformation, innovation",N1
貝殻,かいがら,shell,N1
階級,かいきゅう,"class, rank, grade",N1
海峡,かいきょう,channel,N1
会見,かいけん,"interview, audience",N1
介護,かいご,nursing,N1
開催,かいさい,"holding a meeting, open an exhibition",N1
回収,かいしゅう,"collection, recovery",N1
改修,かいしゅう,"repair, improvement",N1
怪獣,かいじゅう,monster,N1
解除,かいじょ,"cancellation, rescinding, release, calling off",N1
回送,かいそう,forwarding,N1
階層,かいそう,"class, level, stratum, hierarchy",N1
開拓,かいたく,"reclamation (of wasteland), cultivation, pioneer",N1
会談,かいだん,"conversation, conference, discussion, interview",N1
改定,かいてい,reform,N1
改訂,かいてい,revision,N1
街道,かいどう,highway,N1
介入,かいにゅう,intervention,N1
開発,かいはつ,"development, exploitation",N1
海抜,かいばつ,height above sea level,N1
介抱,かいほう,"nursing, looking after",N1
解剖,かいぼう,"dissection, autopsy",N1
回覧,かいらん,circulation,N1
海流,かいりゅう,ocean current,N1
改良,かいりょう,"improvement, reform",N1
回路,かいろ,circuit (electric),N1
顧みる,かえりみる,"to look back, to turn around, to review",N1
省みる,かえりみる,to reflect,N1
返る,かえる,"to return, to come back, to go back",N1
顔付き,かおつき,"(outward) looks, features, face, countenance, expression",N1
掲げる,かかげる,"to publish, to print, to carry (an article), to put up, to hang out, to hoist, to fly (a sail), to float (a",N1
踵,かかと,(shoe) heel,N1
係り,かかり,"official, duty, person in charge",N1
課外,かがい,extracurricular,N1
書き取り,かきとり,dictation,N1
書き取る,かきとる,"to write down, to take dictation, to take notes",N1
掻き回す,かきまわす,"to stir up, to churn, to ransack, to disturb",N1
欠く,かく,"to lack, to break, to crack, to chip",N1
角,かく,"1. angle, 2. bishop (shogi)",N1
核,かく,"nucleus, kernel",N1
格,かく,"status, character, case",N1
佳句,かく,beautiful passage of literature,N1
画,かく,stroke,N1
格差,かくさ,"qualitative difference, disparity",N1
拡散,かくさん,"scattering, diffusion",N1
各種,かくしゅ,"every kind, all sorts",N1
隔週,かくしゅう,every other week,N1
確信,かくしん,"conviction, confidence",N1
革新,かくしん,"reform, innovation",N1
確定,かくてい,"definition (math), decision, settlement",N1
獲得,かくとく,"acquisition, possession",N1
確保,かくほ,"guarantee, ensure, maintain, insure, secure",N1
革命,かくめい,revolution,N1
確立,かくりつ,establishment,N1
賭け,かけ,"betting, gambling, a gamble",N1
掛け,かけ,credit,N1
駆け足,かけあし,"running fast, double time",N1
家計,かけい,"household economy, family finances",N1
駆けっこ,かけっこ,(foot) race,N1
駆ける,かける,"to run (race esp. horse), to gallop, to canter",N1
賭ける,かける,"to wager, to bet, to risk, to stake, to gamble",N1
ヶ月,かげつ,#NAME?,N1
加工,かこう,"manufacturing, processing, treatment",N1
化合,かごう,chemical combination,N1
嵩張る,かさばる,"to be bulky, to be unwieldy, to grow voluminous",N1
嵩む,かさむ,"to pile up, to increase",N1
風車,かざぐるま,"1. windmill, 2. pinwheel",N1
畏まりました,かしこまりました,certainly!,N1
華奢,かしゃ,"luxury, pomp, delicate, slender, gorgeous",N1
箇所,かしょ,"passage, place, point, part",N1
火傷,かしょう,"burn, scald",N1
